"";"Mamiellales";"Ustilaginomycotina";"Dino-Group-I";"Bacillariophyta_X";"Crustacea";"Chloropicales";"Chlorellales";"Cryptomonadales";"Gymnodiniales";"Dino-Group-II";"Phaeocystales";"Pezizomycotina";"Pelagomonadales";"Strombidiida";"Chlorodendrales";"Pseudoscourfieldiales";"Choreotrichida";"Agaricomycotina";"Dino-Group-III";"Annelida_X";"NA";"MAST-7B";"Picozoa_XX";"Strombidiida_F";"CONThreeP_X";"MAST-4A";"Pucciniomycotina";"Ulvales-relatives";"Dinophyceae_X";"MAST-4E";"Katablepharidales";"MAST-4B";"MAST-7A";"Prasinodermales";"Tintinnida";"MAST-3F";"Dolichomastigales";"MAST-7C";"Labyrinthulida";"Thraustochytrida";"MAST-2B";"Ctenophora_X";"Strombidiida_G";"MAST-3E";"Saccharomycotina";"Chrysophyceae_X";"Peridiniales";"Prymnesiales";"MAST-4C";"Telonemia_XX";"Cryptomycotina";"Porifera_X";"Pyramimonadales";"Prorocentrales";"MAST-1B";"Scuticociliatia_1";"Parmales";"Ebriida";"Pirsonia_Clade_X";"Labyrinthulomycetes_X";"Anoecales";"Filosa-Thecofilosea_X";"Cryptomonadales:nucl";"Pterocystida";"Nemertea_X";"Embryophyceae_X";"Cnidaria_X";"MAST-7D";"Polyplacophora";"Dictyochophyceae_X";"Bicoecales";"MAST-1C";"Bryozoa_X";"MAST-3D";"Haptoria_4";"Variosea_X";"Cryomonadida";"Torodiniales";"MAST-9C";"Urochordata_X";"MOCH-3_X";"MAST-8A";"MAST-9D";"MAST-12A";"Rotifera_X";"MAST-11_X";"MAST-12E";"Chlorarachnida";"Litostomatea_X";"Suessiales";"ATCC50593-Flamella-WIM80-lineage";"Acanthoecida";"MAST-4D";"Corallinales";"Suctoria";"Chytridiomycotina";"CONTH_8_X";"MAST-10_X";"MAST-12B";"Strombidiida_B";"Gigartinales";"Stramenopiles_XXX";"Filosa-Imbricatea_X";"Gelidiales";"RAD-B_X";"Echinodermata_X";"Syracosphaerales";"MAST-3J";"Ellobiopsidae_X";"Pyrenomonadales";"MAST-2D";"Turbellaria";"MAST-6_X";"Marimonadida";"Craniata_X";"Colaconematales";"Thalassomycetales";"Prymnesiophyceae_Clade_D";"Chlorarachniophyceae_X";"MOCH-2_X";"Craspedida";"MAST-1A";"Ventricleftida";"MAST-3I";"Ceramiales";"Cyrtophoria_7";"MOCH-1_X";"Haptophyta_Clade_HAP3_X";"Bonnemaisoniales";"Ichthyosphonida";"MAST-8B";"Ulvophyceae_X";"Oltmansiellopsidales";"Isochrysidales";"RAD-A_X";"Gonyaulacales";"Haptoria_5";"Dino-Group-V";"Oomycota_X";"Prymnesiophyceae_Clade_E";"Rhodymeniales";"Apicomplexa_XX";"MAST-8E";"Nassophorea_X";"Prasino-Clade-9_X";"Perkinsida_X";"Bivalvia";"Cyrtophoria_8";"Dino-Group-IV";"MAST-3K";"Ulotrichales";"Thaumatomonadida";"Stramenopiles_X-Group-2_X";"MAST-3L";"Prymnesiophyceae_Clade_F";"Oblongichytrida";"Colpodellida";"Planomonadidae";"MAST-8C";"Peritrichia_2";"Cyrtophoria_1";"Halymeniales";"Apusomonadidae_Group-2B";"MOCH-5_X";"Haptophyta_Clade_HAP5_X";"Prymnesiophyceae_X";"MAST-25_X";"MAST-12_X";"OLIGO5";"Chlamydomonadales";"Chromadorea";"Nassellaria";"MAST-9A";"Dinophysiales";"Amphifilida";"Strombidiida_D";"MAST-3C";"Nolandida";"Gracilariales";"MOCH-4_X";"Entoprocta_X";"Prasino-Clade-VIII_X";"Apusomonadidae_Group-1_X";"MAST-1D";"Leptomyxida";"Echinamoebida";"Vampyrellida";"Cyrtophoria_5";"Hypotrichia";"MAST-8D";"Cryptofilida";"Haptophyta_Clade_HAP4_X";"Cyrtophoria_2";"Monothalamids_Clade-C"
"C1_2017.04";603;18344;1442;3770;9;0;20;0;0;157;4771;2029;0;3230;1;20;1;2646;0;0;0;0;4;0;8;0;156;0;0;0;0;0;0;0;526;0;0;0;53;138;496;0;0;0;367;660;114;204;0;88;0;0;56;0;0;0;0;44;446;0;43;37;0;0;0;0;0;0;0;47;0;0;0;0;0;338;0;0;0;0;0;6;0;164;92;0;8;6;0;27;205;0;0;0;6;0;0;0;26;0;0;77;93;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;46;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0
"C1_2018.02";7346;3330;8441;1895;300;793;0;473;1140;3834;250;345;175;843;51;1920;161;0;222;251;0;243;134;0;64;37;0;0;452;21;517;189;110;71;42;398;28;121;251;975;20;50;0;39;0;853;223;172;351;131;0;4;12;108;54;22;102;0;0;83;28;470;67;62;0;0;16;17;0;0;45;106;0;187;0;0;241;14;0;9;0;14;8;11;17;14;111;40;6;8;0;48;13;0;0;79;0;6;62;13;0;39;46;0;0;0;0;74;0;18;0;10;0;33;0;0;0;0;23;0;29;0;88;37;0;0;0;0;0;12;0;0;0;19;0;0;6;0;0;0;0;0;0;14;0;0;0;0;6;0;0;10;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C1_2018.04";11550;2820;6159;71;612;3056;88;1359;659;3178;238;0;3765;2275;0;33;173;0;369;7;0;40;126;147;146;182;0;0;289;51;591;23;0;102;82;76;28;0;0;0;0;0;57;62;0;183;297;221;7;726;0;0;264;58;0;0;48;0;18;30;0;14;0;27;0;0;7;0;0;116;0;76;0;0;0;0;19;116;18;11;0;16;0;64;0;0;0;0;0;30;0;6;0;0;6;0;0;0;29;0;0;0;0;0;0;0;13;0;0;0;21;0;0;0;0;0;3;25;0;74;0;0;0;0;0;0;0;27;0;0;32;0;0;8;0;0;7;0;0;23;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2_2017.04";23;33695;1154;339;7;19;28;8;14;25;81;50;0;231;0;25;0;605;0;0;0;0;0;0;6;0;4521;0;0;0;5;0;0;0;28;0;0;0;22;13;25;0;0;0;510;17;12;0;0;32;0;0;0;10;0;17;0;13;29;0;11;0;0;0;0;20;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2_2018.02";1332;870;5830;9109;532;209;0;424;8341;2713;211;0;222;1159;86;808;253;0;160;9;0;106;146;0;50;19;0;0;1522;22;214;167;121;72;52;177;7;48;449;1049;0;34;16;0;0;510;245;110;200;57;0;13;26;75;27;52;34;47;0;92;44;192;152;33;0;0;110;20;0;0;66;183;0;84;0;0;196;0;0;17;0;0;0;0;20;0;103;9;12;19;0;46;0;0;0;222;0;0;50;7;0;23;47;0;0;0;0;105;0;43;0;80;0;11;0;0;0;0;0;0;31;0;66;0;0;0;0;0;0;19;0;0;0;19;0;0;0;0;0;0;0;0;0;9;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C2_2018.04";6446;5588;10449;485;728;5477;79;795;1296;1584;153;14;2012;1451;47;71;153;134;227;0;0;31;65;189;89;76;0;0;238;40;183;12;0;296;25;22;16;0;45;97;0;26;48;50;0;47;206;125;0;149;0;0;109;74;4;0;38;48;0;0;0;0;0;9;0;0;0;0;0;93;0;62;0;0;0;0;11;78;41;0;0;8;8;15;0;0;0;0;0;29;49;9;0;0;17;17;0;0;0;0;0;0;0;0;8;0;0;0;0;0;9;29;0;0;22;0;0;24;9;36;0;0;0;0;0;0;28;13;0;0;14;0;0;4;33;16;0;0;0;0;0;11;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"C3_2017.04";24;28483;2359;4719;26;48;91;0;10;100;35;1343;0;133;28;219;28;1781;0;0;0;0;0;0;0;0;652;0;0;0;13;0;0;0;24;0;0;0;118;126;30;0;0;0;242;152;42;4;0;12;0;0;14;0;0;46;0;513;0;0;8;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;8;0;0;7;0;12;7;0;0;0;0;77;0;0;0;0;0;0;0;0;0;0;0;11;65;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"C3_2018.02";321;3023;2829;21485;944;80;0;105;568;1000;436;0;28;2924;4;416;608;27;0;143;0;0;3;0;0;0;19;10;72;0;58;0;0;18;884;0;0;0;534;669;249;0;0;0;0;824;300;355;12;140;0;11;242;4;0;17;0;25;69;0;7;392;86;5;0;0;55;0;0;26;34;22;0;20;0;0;70;0;0;42;0;0;14;51;240;0;23;41;0;127;0;26;0;5;8;41;0;0;23;0;0;59;128;0;0;0;0;31;0;10;0;15;0;0;0;0;0;0;0;0;44;0;0;38;0;0;0;0;0;4;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"C3_2018.04";3680;303;3755;5270;4552;1237;47;1223;2750;1721;475;6;3781;2154;30;32;707;0;143;0;0;40;54;164;231;95;0;2;488;22;550;15;0;232;269;26;74;0;39;126;30;21;108;58;0;236;619;424;0;510;0;0;792;297;0;0;77;26;164;0;0;0;0;73;0;0;62;0;0;377;0;264;0;0;0;23;40;29;21;0;0;14;0;128;43;0;0;0;0;322;0;100;0;0;141;0;0;12;25;6;0;0;6;0;0;0;40;17;0;0;13;20;5;0;39;0;0;27;12;110;0;2;0;0;0;0;12;0;0;0;30;0;0;84;0;77;0;0;0;26;0;38;4;0;15;0;0;0;0;0;0;0;0;0;0;24;0;0;9;23;0;0;15;0;0;0;0;0;0;6;18;0;0;29;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0
"C4_2017.04";19;30248;1276;606;32;0;32;0;0;32;47;5444;0;108;11;71;6;182;0;0;0;0;0;0;0;0;749;48;0;0;0;0;0;0;60;6;0;0;43;40;22;0;0;0;2072;47;30;0;0;8;0;0;0;0;0;81;0;121;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;7;0;0;0;0;54;0;0;0;0;15;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
